ENSEMBL,SYMBOL,DMSO,ITRA,FDR,AveExpr,P value,SRR7108396,SRR7108397,SRR7108398,SRR7108399,SRR7108400,SRR7108401,SRR7108402,SRR7108403,SRR7108396 CPM,SRR7108397 CPM,SRR7108398 CPM,SRR7108399 CPM,SRR7108400 CPM,SRR7108401 CPM,SRR7108402 CPM,SRR7108403 CPM
ENSG00000243708,PLA2G4B,0,1.71937350573106,9.06098469991381e-8,1.6572612781965,9.19079019727444e-9,20.583141,12.239611,22.112845,19.982794,64.068952,28.594615,38.184647,60.930242,1.682,1.188,1.983,1.568,5.352,2.819,3.656,5.475
ENSG00000119574,ZBTB45,0,-1.16385979993918,9.17725757544929e-8,2.37248403611641,9.31346362713919e-9,90.130987,78.279558,77.135963,100.312072,37.250455,32.233849,19.218155,29.258461,7.365,7.596,6.916,7.871,3.112,3.177,1.840,2.629
ENSG00000173258,ZNF483,0,2.03234452998644,9.19638304943068e-8,0.239072649175309,9.33603610517985e-9,5.396273,5.772063,5.932473,4.464734,20.294712,17.127671,17.1779,14.238799,0.441,0.560,0.532,0.350,1.695,1.688,1.645,1.279
ENSG00000170509,HSD17B13,0,2.82649481454939,9.29619299504671e-8,-0.256667214621809,9.44375668938052e-9,3.261043,0,2.108022,3.567503,15.054986,15.606916,13.745235,6.229837,0.266,0.000,0.189,0.280,1.258,1.538,1.316,0.560
ENSG00000117707,PROX1,0,1.66121879798023,9.29671880089017e-8,1.57501843200986,9.44588967197949e-9,16.002063,20.00307,16,21.004659,51.002734,42.002406,52,32.0022,1.308,1.941,1.435,1.648,4.260,4.140,4.979,2.875
ENSG00000260267,NA,0,-1.66397466539287,9.40333598461201e-8,2.15669781417083,9.56068625054194e-9,82.566986,65.717211,75.321935,98.033709,31.995109,21.494502,16.444598,7.508248,6.747,6.377,6.754,7.692,2.673,2.119,1.575,0.675
ENSG00000248487,ABHD14A,0,-1.71854743385527,9.54774639111585e-8,1.28113502039717,9.71408114775334e-9,39.781227,42.286088,34.823827,52.168992,11.794022,8.01477,11.029132,8.162459,3.251,4.103,3.122,4.094,0.985,0.790,1.056,0.733
ENSG00000187187,ZNF546,0,-2.47450950244163,9.68124946975006e-8,0.215622563782705,9.85823483763395e-9,23.620491,20.692874,20.372381,15.10725,5.59898,2.035926,3.060064,0,1.930,2.008,1.827,1.185,0.468,0.201,0.293,0.000
ENSG00000086548,CEACAM6,0,1.37851111245614,9.78691286468592e-8,6.65256064231731,9.96919615758933e-9,817.436916,619.756125,673.988136,792.188793,941.084231,1571.61899,2107.289183,930.369317,66.793,60.137,60.431,62.160,78.611,154.921,201.787,83.597
ENSG00000236581,STARD13-AS,0,3.45208628377082,9.84217162221098e-8,-0.640264487910144,1.00288693933651e-8,0,3,1,0,10,10,6,12,0.000,0.291,0.090,0.000,0.835,0.986,0.575,1.078
ENSG00000175536,LIPT2,0,-2.49392157639906,9.90409304034198e-8,0.644877966206339,1.00936686943551e-8,29.821959,14.857849,40.617227,27.747302,6,4,2,3,2.437,1.442,3.642,2.177,0.501,0.394,0.192,0.270
ENSG00000141867,BRD4,0,1.05338209034352,9.95760341831734e-8,7.80997537822284,1.01516282978976e-8,1823,1782.000001,1765.999999,2155,2560.358497,3174.000001,3413.789259,2571.999999,148.958,172.913,158.344,169.095,213.872,312.874,326.893,231.102
ENSG00000279348,NA,0,-1.82354540004023,1.00383027567976e-7,0.877751674898607,1.02373528037233e-8,30,29,33,34,9,6,5,7,2.451,2.814,2.959,2.668,0.752,0.591,0.479,0.629
ENSG00000050344,NFE2L3,0,-1.18005897064813,1.00479746632803e-7,7.44148109835043,1.02489445247245e-8,3175.690879,2741.982093,3181.235956,3279.052092,1786.249455,743.400162,730.399801,1039.516576,259.487,266.063,285.237,257.296,149.209,73.280,69.941,93.404
ENSG00000110811,P3H3,0,5.90394402730815,1.00794851211484e-7,-1.13441939969003,1.02828186731305e-8,0,0,0,0,5,8.236971,6.000001,6,0.000,0.000,0.000,0.000,0.418,0.812,0.575,0.539
ENSG00000150773,PIH1D2,0,-2.47932272037204,1.02429054473183e-7,0.136127494198127,1.04548203397998e-8,24.858633,18,15.000001,17,2,4,1,2.907163,2.031,1.747,1.345,1.334,0.167,0.394,0.096,0.261
ENSG00000100373,UPK3A,0,2.19737863178861,1.02638632728296e-7,1.21808254771206,1.04779769184165e-8,10,6,9,17,58,26,20,47,0.817,0.582,0.807,1.334,4.845,2.563,1.915,4.223
ENSG00000168961,LGALS9,0,1.6238995396317,1.03388337387767e-7,1.66739602194874,1.05562893884667e-8,26.975132,16.970035,11.563266,24.379075,57.09357,38.997064,52.038644,40.117751,2.204,1.647,1.037,1.913,4.769,3.844,4.983,3.605
ENSG00000180425,C11orf71,0,-1.68354891255905,1.06281631846498e-7,1.31041583653696,1.08590155089694e-8,45.936726,35,43.073904,48.123143,16.615999,5.332711,9.808259,9.129316,3.754,3.396,3.862,3.776,1.388,0.526,0.939,0.820
